"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.wrongwrong.main.deser.A_1P_Ctor.missing","thrpt",1,9,933545.559366,51133.886345,"ops/s"
"org.wrongwrong.main.deser.A_1P_Ctor.present","thrpt",1,9,1197743.219365,48804.694785,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.missing","thrpt",1,9,903196.690352,34446.344836,"ops/s"
"org.wrongwrong.main.deser.A_1P_Func.present","thrpt",1,9,1220026.296039,41674.712270,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.missing","thrpt",1,9,464270.590499,30501.390715,"ops/s"
"org.wrongwrong.main.deser.E_5P_Ctor.present","thrpt",1,9,607940.195836,9216.532614,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.missing","thrpt",1,9,466971.851455,25358.540013,"ops/s"
"org.wrongwrong.main.deser.E_5P_Func.present","thrpt",1,9,636860.286324,16630.715105,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.missing","thrpt",1,9,145013.861345,4311.763410,"ops/s"
"org.wrongwrong.main.deser.T_20P_Ctor.present","thrpt",1,9,211730.669198,5951.580719,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.missing","thrpt",1,9,142259.237317,2522.714132,"ops/s"
"org.wrongwrong.main.deser.T_20P_Func.present","thrpt",1,9,214259.562445,6726.499551,"ops/s"
